Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
580,184.5586,164.6381,33.4970,9,0.3061,1.0000,0.5461,0.5461,0.000000,0.000000,0.000000
590,184.5130,160.2246,38.6261,10,0.2566,1.0000,0.6320,0.6320,0.000000,0.000000,0.000000
600,189.8331,157.9603,44.6607,10,0.0699,1.0000,0.7409,0.7409,0.000000,0.000000,0.000000
610,186.1446,160.7046,38.9957,10,0.2661,1.0000,0.6534,0.6534,0.000000,0.000000,0.000000
620,186.5706,159.4312,39.2113,9,0.3488,1.0000,0.5796,0.5796,0.000000,0.000000,0.000000
630,192.9360,156.6218,47.3552,10,0.1709,1.0000,0.7477,0.7477,0.000000,0.000000,0.000000
640,202.3121,160.5608,34.6416,10,0.3448,1.0000,0.6651,0.6651,74.292012,0.007040,0.104289
650,201.7383,165.4469,39.8186,10,0.2439,1.0000,0.6383,0.6383,0.000000,0.000000,0.000000
660,205.8133,164.5203,38.1655,10,0.2667,1.0000,0.7219,0.7219,60.654362,0.000820,0.285182
670,210.3784,166.6774,42.3650,10,0.3226,1.0000,0.7476,0.7476,346.074763,0.011852,0.250980
680,217.4280,172.6047,34.8917,10,0.3409,1.0000,0.6003,0.6003,0.000000,0.000000,0.000000
690,216.5934,179.0054,34.9010,10,0.2979,1.0000,0.7349,0.7349,0.000000,0.000000,0.000000
700,206.3614,181.0792,33.4886,9,0.3333,1.0000,0.6516,0.6516,243.087477,-0.012977,0.222142
710,203.5810,180.3080,45.6788,10,0.3093,1.0000,0.7643,0.7643,0.000000,0.000000,0.000000
720,204.0132,180.1159,44.4123,10,0.3030,1.0000,0.8095,0.8095,0.000000,0.000000,0.000000
730,196.1271,179.4194,36.2564,10,0.3125,1.0000,0.6904,0.6904,81.311671,-0.002565,0.267817
740,196.7079,176.9784,39.0024,10,0.3371,1.0000,0.6560,0.6560,0.000000,0.000000,0.000000
750,197.9169,174.2846,35.8613,10,0.2566,1.0000,0.7284,0.7284,0.000000,0.000000,0.000000
760,197.2498,174.2538,41.0362,10,0.2564,1.0000,0.6588,0.6588,0.000000,0.000000,0.000000
770,193.1167,176.1848,40.5647,9,0.2500,1.0000,0.6766,0.6766,331.088406,-0.018605,0.303890
780,200.7178,177.4342,41.5724,10,0.2459,1.0000,0.7462,0.7462,0.000000,0.000000,0.000000
790,200.5634,177.6534,45.9793,10,0.1144,1.0000,0.6853,0.6853,0.000000,0.000000,0.000000
800,209.7659,179.0743,37.9972,10,0.2655,1.0000,0.6585,0.6585,0.000000,0.000000,0.000000
810,213.5943,179.5766,44.4389,10,0.2655,1.0000,0.6516,0.6516,114.827087,-0.007633,0.240888
820,218.9982,176.7038,42.2734,10,0.1905,1.0000,0.6780,0.6780,0.000000,0.000000,0.000000
830,214.1892,178.0966,29.0599,9,0.2632,1.0000,0.5094,0.5094,490.095947,0.001539,0.308080
840,199.6836,177.6535,40.8582,10,0.2727,1.0000,0.6843,0.6843,0.000000,0.000000,0.000000
850,195.3536,172.7481,49.7214,10,0.0494,1.0000,0.8040,0.8040,0.000000,0.000000,0.000000
860,170.5056,166.7906,34.0535,8,0.3448,1.0000,0.7224,0.7224,330.666283,0.006424,0.309859
870,164.5758,157.8216,46.9792,10,0.2177,1.0000,0.7221,0.7221,0.000000,0.000000,0.000000
880,167.6800,149.6837,37.5419,10,0.2177,1.0000,0.6650,0.6650,0.000000,0.000000,0.000000
890,180.1400,148.3806,41.9196,10,0.2397,1.0000,0.7388,0.7388,0.000000,0.000000,0.000000
900,184.1220,154.3802,44.0773,10,0.2752,1.0000,0.6548,0.6548,0.000000,0.000000,0.000000
910,209.3931,160.9914,43.1680,10,0.2308,1.0000,0.6762,0.6762,18.530495,-0.018574,0.308208
920,213.5984,172.3512,36.8038,10,0.2290,1.0000,0.6073,0.6073,0.000000,0.000000,0.000000
930,216.6677,178.3687,40.0549,10,0.0861,1.0000,0.6866,0.6866,0.000000,0.000000,0.000000
940,219.1084,182.0638,44.8154,10,0.1309,1.0000,0.6600,0.6600,0.000000,0.000000,0.000000
950,222.6753,181.1627,44.2313,10,0.1758,1.0000,0.6733,0.6733,0.000000,0.000000,0.000000
960,223.7051,182.5891,45.1557,10,0.2197,1.0000,0.6948,0.6948,0.000000,0.000000,0.000000
970,229.6195,181.1472,48.9290,10,0.1788,1.0000,0.7737,0.7737,0.000000,0.000000,0.000000
980,232.4678,181.8603,42.8772,10,0.1553,1.0000,0.8620,0.8620,57.244718,-0.011597,0.276043
990,233.5540,184.2364,39.1421,10,0.2913,1.0000,0.7268,0.7268,0.000000,0.000000,0.000000
1000,210.1678,185.9904,47.8553,10,0.1667,1.0000,0.8087,0.8087,253.935173,-0.020865,0.403911
1010,198.9766,180.7882,39.1197,10,0.1709,1.0000,0.6748,0.6748,0.000000,0.000000,0.000000
1020,197.7873,177.0190,48.0498,10,0.1389,1.0000,0.7476,0.7476,0.000000,0.000000,0.000000
1030,196.1724,178.2844,38.9887,10,0.1929,1.0000,0.7100,0.7100,0.000000,0.000000,0.000000
1040,188.9135,178.5773,42.9724,10,0.2377,1.0000,0.7668,0.7668,0.000000,0.000000,0.000000
1050,205.8079,177.3350,43.8327,10,0.2057,1.0000,0.7176,0.7176,0.000000,0.000000,0.000000
1060,214.5240,178.7154,41.7757,10,0.2113,1.0000,0.6171,0.6171,0.000000,0.000000,0.000000
1070,215.0462,183.2780,43.3465,10,0.2500,1.0000,0.6723,0.6723,0.000000,0.000000,0.000000
1080,215.0376,185.8511,34.8091,10,0.2609,1.0000,0.6624,0.6624,0.000000,0.000000,0.000000
1090,218.4162,187.2093,34.0046,10,0.2913,1.0000,0.5826,0.5826,0.000000,0.000000,0.000000
1100,216.5574,187.6652,40.0867,10,0.2090,1.0000,0.7533,0.7533,0.000000,0.000000,0.000000
1110,216.6840,190.1381,46.9156,10,0.1722,1.0000,0.7645,0.7645,0.000000,0.000000,0.000000
1120,214.8452,189.7264,42.2726,10,0.2339,1.0000,0.6850,0.6850,18.443480,0.002684,0.315420
1130,214.6679,186.2781,43.7095,10,0.2632,1.0000,0.6470,0.6470,0.000000,0.000000,0.000000
1140,211.2764,180.3952,37.2536,8,0.3191,1.0000,0.6612,0.6612,556.068140,-0.015393,0.278837
1150,215.3074,179.4206,32.5454,10,0.2479,1.0000,0.6666,0.6666,0.000000,0.000000,0.000000
1160,194.6324,178.8518,33.8248,10,0.2609,1.0000,0.6423,0.6423,327.444916,-0.014247,0.339830
1170,169.6942,173.4548,29.0379,8,0.3704,1.0000,0.6671,0.6671,0.000000,0.000000,0.000000
1180,155.9853,163.9831,34.1480,10,0.2283,1.0000,0.5693,0.5693,0.000000,0.000000,0.000000
1190,159.2867,152.4604,31.3659,10,0.2609,1.0000,0.6896,0.6896,307.588573,0.005378,0.176291
1200,162.8544,145.0341,34.0422,10,0.2239,1.0000,0.5922,0.5922,260.855370,-0.014603,0.152113
1210,184.1328,143.7646,41.6377,10,0.1605,1.0000,0.6474,0.6474,0.000000,0.000000,0.000000
1220,209.1913,150.6863,44.7260,10,0.1146,1.0000,0.6886,0.6886,0.000000,0.000000,0.000000
1230,223.2243,160.3928,46.8830,10,0.1088,1.0000,0.6984,0.6984,0.000000,0.000000,0.000000
1240,228.7972,171.3092,39.5312,10,0.0948,1.0000,0.6397,0.6397,0.000000,0.000000,0.000000
1250,222.1549,177.4342,41.3590,10,0.2248,1.0000,0.6761,0.6761,0.000000,0.000000,0.000000
1260,223.8262,178.6976,42.3259,10,0.2206,1.0000,0.6416,0.6416,0.000000,0.000000,0.000000
1270,225.6833,177.3168,48.5824,10,0.1582,1.0000,0.8237,0.8237,25.465787,0.005361,0.294863
1280,225.0651,178.0637,47.5683,10,0.2479,1.0000,0.7053,0.7053,18.213575,-0.001127,0.294964
1290,223.6958,182.3801,39.1050,10,0.3226,1.0000,0.6780,0.6780,0.000000,0.000000,0.000000
1300,229.3511,184.3042,42.3867,10,0.2564,1.0000,0.7442,0.7442,28.094797,0.008730,0.249927
1310,223.3730,187.1792,41.5527,9,0.2830,1.0000,0.7392,0.7392,0.000000,0.000000,0.000000
1320,222.7693,188.6972,35.6398,10,0.2703,1.0000,0.7625,0.7625,0.000000,0.000000,0.000000
1330,220.8991,188.9615,40.3066,9,0.2679,1.0000,0.7892,0.7892,0.000000,0.000000,0.000000
1340,218.1072,186.5625,37.9720,9,0.1714,1.0000,0.8030,0.8030,244.970692,0.006220,0.217182
1350,219.2561,186.6900,44.6765,10,0.2061,1.0000,0.7931,0.7931,0.000000,0.000000,0.000000
1360,225.7596,188.6898,43.4207,10,0.2544,1.0000,0.7672,0.7672,0.000000,0.000000,0.000000
1370,221.5692,190.5484,45.8066,10,0.1345,1.0000,0.7786,0.7786,66.062392,-0.004468,0.217481
1380,219.7846,189.6302,34.7603,9,0.2353,1.0000,0.7902,0.7902,328.212921,0.003510,0.189048
1390,222.9036,189.5588,46.6413,10,0.2126,1.0000,0.8318,0.8318,0.000000,0.000000,0.000000
1400,223.0057,190.2069,45.5117,10,0.1036,1.0000,0.8171,0.8171,0.000000,0.000000,0.000000
1410,211.6130,189.8565,37.3521,9,0.3846,1.0000,0.7468,0.7468,1111.469611,0.018086,0.297411
1420,192.5218,187.3289,39.3784,10,0.3000,1.0000,0.6459,0.6459,0.000000,0.000000,0.000000
1430,179.7454,184.1089,35.8433,9,0.2414,1.0000,0.8428,0.8428,0.000000,0.000000,0.000000
1440,176.6929,177.8230,46.9966,10,0.1479,1.0000,0.7593,0.7593,0.000000,0.000000,0.000000
1450,173.7783,174.1422,44.4502,10,0.2788,1.0000,0.7421,0.7421,91.721616,-0.008938,0.238331
